sim_time_min,event_type,patient_id,server_id,queue_len_after_event,busy_servers_after_event
4.42346,ARRIVAL,1,-1,0,1
6.396578,ARRIVAL,2,-1,0,2
7.051581,ARRIVAL,3,-1,0,3
7.289302,ARRIVAL,4,-1,1,3
8.753973,ARRIVAL,5,-1,2,3
11.509347,DEPARTURE,3,2,1,3
12.436778,ARRIVAL,6,-1,2,3
14.10709,ARRIVAL,7,-1,3,3
15.333865,DEPARTURE,4,2,2,3
16.757597,DEPARTURE,1,0,1,3
16.768991,ARRIVAL,8,-1,2,3
19.94615,DEPARTURE,6,0,1,3
25.375665,ARRIVAL,9,-1,2,3
25.435947,ARRIVAL,10,-1,3,3
26.941454,DEPARTURE,2,1,2,3
29.949427,ARRIVAL,11,-1,3,3
30.323361,ARRIVAL,12,-1,4,3
31.52683,DEPARTURE,8,1,3,3
31.554508,DEPARTURE,5,2,2,3
31.908027,ARRIVAL,13,-1,3,3
32.534932,DEPARTURE,7,0,2,3
35.425521,DEPARTURE,9,1,1,3
37.29666,DEPARTURE,12,1,0,3
41.246321,ARRIVAL,14,-1,1,3
41.652766,DEPARTURE,10,2,0,3
43.024157,DEPARTURE,14,2,0,2
43.067368,DEPARTURE,13,1,0,1
48.816403,ARRIVAL,15,-1,0,2
49.624227,ARRIVAL,16,-1,0,3
50.913631,DEPARTURE,11,0,0,2
57.205741,DEPARTURE,16,2,0,1
61.553964,ARRIVAL,17,-1,0,2
62.337997,DEPARTURE,15,1,0,1
72.573691,DEPARTURE,17,0,0,0
72.713207,ARRIVAL,18,-1,0,1
84.166947,DEPARTURE,18,0,0,0
88.853444,ARRIVAL,19,-1,0,1
89.439184,ARRIVAL,20,-1,0,2
90.88417,ARRIVAL,21,-1,0,3
92.01397,ARRIVAL,22,-1,1,3
96.53227,DEPARTURE,19,0,0,3
98.086243,DEPARTURE,20,1,0,2
102.76627,DEPARTURE,22,0,0,1
107.529981,ARRIVAL,23,-1,0,2
109.767672,DEPARTURE,23,0,0,1
112.960408,ARRIVAL,24,-1,0,2
116.36774,DEPARTURE,21,2,0,1
124.11737,ARRIVAL,25,-1,0,2
124.91383,DEPARTURE,24,0,0,1
128.521709,ARRIVAL,26,-1,0,2
129.634027,DEPARTURE,25,1,0,1
135.468718,ARRIVAL,27,-1,0,2
139.456003,ARRIVAL,28,-1,0,3
143.910959,ARRIVAL,29,-1,1,3
145.255162,DEPARTURE,27,1,0,3
148.170676,DEPARTURE,29,1,0,2
151.445319,DEPARTURE,28,2,0,1
156.391536,ARRIVAL,30,-1,0,2
165.090064,ARRIVAL,31,-1,0,3
167.341368,DEPARTURE,30,1,0,2
170.675633,ARRIVAL,32,-1,0,3
171.574963,ARRIVAL,33,-1,1,3
173.335266,DEPARTURE,32,1,0,3
174.090587,DEPARTURE,26,0,0,2
176.328288,DEPARTURE,33,1,0,1
181.032052,ARRIVAL,34,-1,0,2
183.870384,ARRIVAL,35,-1,0,3
184.931441,DEPARTURE,35,1,0,2
189.028105,DEPARTURE,34,0,0,1
191.184042,DEPARTURE,31,2,0,0
192.417329,ARRIVAL,36,-1,0,1
192.464473,ARRIVAL,37,-1,0,2
192.999971,ARRIVAL,38,-1,0,3
193.665773,DEPARTURE,36,0,0,2
194.624043,ARRIVAL,39,-1,0,3
195.190451,DEPARTURE,38,2,0,2
198.749946,DEPARTURE,37,1,0,1
200.83054,ARRIVAL,40,-1,0,2
202.76542,ARRIVAL,41,-1,0,3
202.804568,ARRIVAL,42,-1,1,3
203.742031,ARRIVAL,43,-1,2,3
205.155683,DEPARTURE,39,0,1,3
206.009453,DEPARTURE,41,2,0,3
209.507904,ARRIVAL,44,-1,1,3
210.935588,DEPARTURE,43,2,0,3
213.441189,DEPARTURE,44,2,0,2
214.011243,ARRIVAL,45,-1,0,3
216.182709,DEPARTURE,45,2,0,2
216.50795,ARRIVAL,46,-1,0,3
218.326591,ARRIVAL,47,-1,1,3
219.270027,DEPARTURE,40,1,0,3
221.318291,ARRIVAL,48,-1,1,3
221.511468,DEPARTURE,46,2,0,3
222.585701,DEPARTURE,42,0,0,2
234.875632,ARRIVAL,49,-1,0,3
235.962482,DEPARTURE,48,2,0,2
238.110153,DEPARTURE,47,1,0,1
239.183748,DEPARTURE,49,0,0,0
239.27467,ARRIVAL,50,-1,0,1
255.34259,ARRIVAL,51,-1,0,2
257.644535,ARRIVAL,52,-1,0,3
262.349996,ARRIVAL,53,-1,1,3
264.199339,ARRIVAL,54,-1,2,3
265.193699,DEPARTURE,52,2,1,3
265.809284,DEPARTURE,53,2,0,3
266.634322,ARRIVAL,55,-1,1,3
268.717098,DEPARTURE,50,0,0,3
269.398318,DEPARTURE,51,1,0,2
269.596568,ARRIVAL,56,-1,0,3
270.440884,ARRIVAL,57,-1,1,3
272.704945,DEPARTURE,56,1,0,3
273.772908,DEPARTURE,54,2,0,2
274.61646,DEPARTURE,55,0,0,1
276.433331,ARRIVAL,58,-1,0,2
279.966994,DEPARTURE,57,1,0,1
280.567568,ARRIVAL,59,-1,0,2
282.60398,ARRIVAL,60,-1,0,3
285.156991,DEPARTURE,59,1,0,2
287.347285,DEPARTURE,60,2,0,1
294.500304,DEPARTURE,58,0,0,0
295.73143,ARRIVAL,61,-1,0,1
297.848321,ARRIVAL,62,-1,0,2
298.914248,ARRIVAL,63,-1,0,3
299.512377,DEPARTURE,62,1,0,2
300.193349,DEPARTURE,63,2,0,1
300.390634,ARRIVAL,64,-1,0,2
302.877935,ARRIVAL,65,-1,0,3
307.436541,ARRIVAL,66,-1,1,3
308.370193,DEPARTURE,65,2,0,3
309.435845,DEPARTURE,66,2,0,2
311.83613,ARRIVAL,67,-1,0,3
312.626052,ARRIVAL,68,-1,1,3
313.021542,DEPARTURE,61,0,0,3
314.749412,ARRIVAL,69,-1,1,3
314.853047,DEPARTURE,67,2,0,3
316.180882,DEPARTURE,64,1,0,2
318.848739,ARRIVAL,70,-1,0,3
324.998366,DEPARTURE,68,0,0,2
326.675341,ARRIVAL,71,-1,0,3
326.966975,ARRIVAL,72,-1,1,3
332.131804,DEPARTURE,69,2,0,3
334.686506,DEPARTURE,71,0,0,2
335.77419,DEPARTURE,70,1,0,1
