sim_time_min,queue_len,busy_servers,utilization_instant,arrivals_total,departures_total
120.0,0,0,0.0,24,24
121.0,0,0,0.0,24,24
122.0,0,0,0.0,24,24
123.0,0,1,0.333333,25,24
124.0,0,1,0.333333,25,24
125.0,0,1,0.333333,25,24
126.0,0,2,0.666667,26,24
127.0,0,1,0.333333,26,25
128.0,0,0,0.0,26,26
129.0,0,0,0.0,26,26
130.0,0,0,0.0,26,26
131.0,0,0,0.0,26,26
132.0,0,0,0.0,26,26
133.0,0,1,0.333333,27,26
134.0,0,1,0.333333,27,26
135.0,0,1,0.333333,27,26
136.0,0,2,0.666667,28,26
137.0,0,2,0.666667,28,26
138.0,0,1,0.333333,28,27
139.0,0,2,0.666667,29,27
140.0,0,2,0.666667,29,27
141.0,0,2,0.666667,29,27
142.0,0,1,0.333333,29,28
143.0,0,1,0.333333,29,28
144.0,0,0,0.0,29,29
145.0,0,0,0.0,29,29
146.0,0,1,0.333333,30,29
147.0,0,1,0.333333,30,29
148.0,0,1,0.333333,30,29
149.0,0,1,0.333333,30,29
150.0,0,1,0.333333,30,29
151.0,0,1,0.333333,30,29
152.0,0,1,0.333333,30,29
153.0,0,1,0.333333,30,29
154.0,0,1,0.333333,30,29
155.0,0,1,0.333333,30,29
156.0,0,2,0.666667,31,29
157.0,0,2,0.666667,31,29
158.0,0,1,0.333333,31,30
159.0,0,1,0.333333,31,30
160.0,0,1,0.333333,31,30
161.0,0,1,0.333333,31,30
162.0,0,0,0.0,31,31
163.0,0,0,0.0,31,31
164.0,0,1,0.333333,32,31
165.0,0,1,0.333333,32,31
166.0,0,1,0.333333,32,31
167.0,0,1,0.333333,32,31
168.0,0,1,0.333333,32,31
169.0,0,1,0.333333,32,31
170.0,0,1,0.333333,32,31
171.0,0,1,0.333333,32,31
172.0,0,0,0.0,32,32
173.0,0,0,0.0,33,33
174.0,0,0,0.0,33,33
175.0,0,1,0.333333,34,33
176.0,0,0,0.0,34,34
177.0,0,0,0.0,34,34
178.0,0,0,0.0,34,34
179.0,0,0,0.0,34,34
180.0,0,0,0.0,34,34
181.0,0,0,0.0,34,34
182.0,0,0,0.0,34,34
183.0,0,0,0.0,34,34
184.0,0,0,0.0,34,34
185.0,0,0,0.0,34,34
186.0,0,0,0.0,34,34
187.0,0,0,0.0,34,34
188.0,0,0,0.0,34,34
189.0,0,0,0.0,34,34
190.0,0,0,0.0,34,34
191.0,0,0,0.0,34,34
192.0,0,0,0.0,34,34
193.0,0,0,0.0,34,34
194.0,0,0,0.0,34,34
195.0,0,0,0.0,34,34
196.0,0,2,0.666667,36,34
197.0,0,3,1.0,37,34
198.0,0,3,1.0,37,34
199.0,0,3,1.0,37,34
200.0,0,2,0.666667,37,35
201.0,0,2,0.666667,37,35
202.0,0,2,0.666667,37,35
203.0,0,2,0.666667,37,35
204.0,0,2,0.666667,37,35
205.0,0,2,0.666667,37,35
206.0,0,2,0.666667,37,35
207.0,0,2,0.666667,37,35
208.0,0,2,0.666667,37,35
209.0,0,2,0.666667,37,35
210.0,0,3,1.0,38,35
211.0,1,3,1.0,39,35
212.0,1,3,1.0,39,35
213.0,2,3,1.0,40,35
214.0,2,3,1.0,40,35
215.0,1,3,1.0,40,36
216.0,1,3,1.0,40,36
217.0,2,3,1.0,41,36
218.0,3,3,1.0,42,36
219.0,2,3,1.0,42,37
220.0,2,3,1.0,42,37
221.0,2,3,1.0,42,37
222.0,2,3,1.0,42,37
223.0,2,3,1.0,42,37
224.0,1,3,1.0,42,38
225.0,2,3,1.0,44,39
226.0,2,3,1.0,44,39
227.0,2,3,1.0,44,39
228.0,2,3,1.0,44,39
229.0,2,3,1.0,44,39
230.0,1,3,1.0,44,40
231.0,0,3,1.0,44,41
232.0,0,2,0.666667,44,42
233.0,0,2,0.666667,44,42
234.0,0,1,0.333333,44,43
235.0,0,1,0.333333,44,43
236.0,0,1,0.333333,44,43
237.0,0,1,0.333333,44,43
238.0,0,1,0.333333,44,43
239.0,0,1,0.333333,44,43
240.0,0,2,0.666667,45,43
241.0,0,2,0.666667,45,43
242.0,0,1,0.333333,45,44
243.0,0,2,0.666667,46,44
244.0,0,2,0.666667,46,44
245.0,0,2,0.666667,46,44
246.0,1,3,1.0,48,44
247.0,1,3,1.0,49,45
248.0,2,3,1.0,50,45
249.0,2,3,1.0,50,45
250.0,2,3,1.0,50,45
251.0,2,3,1.0,50,45
252.0,0,3,1.0,50,47
253.0,0,3,1.0,50,47
254.0,0,3,1.0,50,47
255.0,0,2,0.666667,50,48
256.0,0,2,0.666667,50,48
257.0,0,2,0.666667,50,48
258.0,0,2,0.666667,50,48
259.0,0,2,0.666667,50,48
260.0,0,2,0.666667,50,48
261.0,0,2,0.666667,50,48
262.0,0,1,0.333333,50,49
263.0,0,0,0.0,50,50
264.0,0,1,0.333333,51,50
265.0,0,1,0.333333,51,50
266.0,0,1,0.333333,51,50
267.0,0,1,0.333333,51,50
268.0,0,1,0.333333,51,50
269.0,0,2,0.666667,52,50
270.0,0,2,0.666667,52,50
271.0,0,1,0.333333,53,52
272.0,0,1,0.333333,53,52
273.0,0,1,0.333333,54,53
274.0,0,1,0.333333,54,53
275.0,0,3,1.0,56,53
276.0,1,3,1.0,57,53
277.0,1,3,1.0,58,54
278.0,1,3,1.0,58,54
279.0,0,3,1.0,58,55
280.0,0,3,1.0,58,55
281.0,0,3,1.0,58,55
282.0,0,2,0.666667,58,56
283.0,0,2,0.666667,58,56
284.0,0,2,0.666667,59,57
285.0,0,1,0.333333,59,58
286.0,0,1,0.333333,59,58
287.0,0,1,0.333333,59,58
288.0,0,1,0.333333,59,58
289.0,0,2,0.666667,60,58
290.0,0,1,0.333333,60,59
291.0,0,2,0.666667,61,59
292.0,0,2,0.666667,61,59
293.0,0,0,0.0,61,61
294.0,0,0,0.0,61,61
295.0,0,1,0.333333,62,61
296.0,0,1,0.333333,62,61
297.0,0,1,0.333333,62,61
298.0,0,2,0.666667,63,61
299.0,0,2,0.666667,63,61
300.0,0,1,0.333333,63,62
301.0,0,1,0.333333,63,62
302.0,0,1,0.333333,63,62
303.0,0,2,0.666667,64,62
304.0,0,1,0.333333,64,63
305.0,0,1,0.333333,64,63
306.0,0,1,0.333333,64,63
307.0,0,1,0.333333,64,63
308.0,0,1,0.333333,64,63
309.0,0,1,0.333333,64,63
310.0,0,1,0.333333,64,63
311.0,0,1,0.333333,64,63
312.0,0,1,0.333333,64,63
313.0,0,1,0.333333,64,63
314.0,0,1,0.333333,64,63
315.0,0,1,0.333333,64,63
316.0,0,2,0.666667,65,63
317.0,0,2,0.666667,65,63
318.0,0,1,0.333333,65,64
319.0,0,1,0.333333,65,64
320.0,0,1,0.333333,65,64
321.0,0,1,0.333333,65,64
322.0,0,1,0.333333,65,64
323.0,0,1,0.333333,65,64
324.0,0,1,0.333333,65,64
325.0,0,1,0.333333,65,64
326.0,0,2,0.666667,66,64
327.0,0,1,0.333333,66,65
328.0,0,1,0.333333,66,65
329.0,0,0,0.0,66,66
330.0,0,0,0.0,66,66
331.0,0,0,0.0,66,66
332.0,0,0,0.0,66,66
333.0,0,1,0.333333,67,66
334.0,0,1,0.333333,67,66
335.0,0,1,0.333333,67,66
336.0,0,1,0.333333,67,66
337.0,0,1,0.333333,67,66
338.0,0,1,0.333333,67,66
339.0,0,1,0.333333,67,66
340.0,0,1,0.333333,67,66
341.0,0,1,0.333333,67,66
342.0,0,1,0.333333,67,66
343.0,0,1,0.333333,67,66
344.0,0,1,0.333333,67,66
345.0,0,1,0.333333,67,66
346.0,0,1,0.333333,67,66
347.0,0,2,0.666667,68,66
348.0,0,2,0.666667,68,66
349.0,0,2,0.666667,68,66
350.0,0,2,0.666667,68,66
351.0,0,3,1.0,69,66
352.0,0,3,1.0,69,66
353.0,0,3,1.0,69,66
354.0,0,2,0.666667,69,67
355.0,0,2,0.666667,69,67
356.0,0,2,0.666667,69,67
357.0,0,2,0.666667,69,67
358.0,0,2,0.666667,69,67
359.0,0,2,0.666667,69,67
360.0,0,2,0.666667,69,67
361.0,0,1,0.333333,69,68
362.0,0,1,0.333333,69,68
363.0,0,2,0.666667,70,68
364.0,0,1,0.333333,70,69
365.0,0,1,0.333333,70,69
366.0,0,1,0.333333,70,69
367.0,0,1,0.333333,70,69
368.0,0,1,0.333333,70,69
369.0,0,1,0.333333,70,69
370.0,0,1,0.333333,70,69
371.0,0,1,0.333333,70,69
372.0,0,1,0.333333,70,69
373.0,0,1,0.333333,70,69
374.0,0,1,0.333333,70,69
375.0,0,1,0.333333,70,69
376.0,0,1,0.333333,70,69
377.0,0,1,0.333333,70,69
378.0,0,1,0.333333,70,69
379.0,0,1,0.333333,70,69
380.0,0,1,0.333333,70,69
381.0,0,1,0.333333,70,69
382.0,0,1,0.333333,70,69
383.0,0,1,0.333333,70,69
384.0,0,2,0.666667,71,69
385.0,0,2,0.666667,71,69
386.0,0,2,0.666667,71,69
387.0,0,2,0.666667,71,69
388.0,0,2,0.666667,71,69
389.0,0,2,0.666667,72,70
390.0,0,2,0.666667,72,70
391.0,0,1,0.333333,72,71
392.0,0,2,0.666667,73,71
393.0,0,2,0.666667,73,71
394.0,0,1,0.333333,73,72
395.0,0,1,0.333333,73,72
396.0,0,1,0.333333,73,72
397.0,0,1,0.333333,73,72
398.0,0,1,0.333333,73,72
399.0,0,1,0.333333,73,72
400.0,0,1,0.333333,73,72
401.0,0,1,0.333333,73,72
402.0,0,1,0.333333,73,72
403.0,0,1,0.333333,73,72
404.0,0,1,0.333333,73,72
405.0,0,1,0.333333,73,72
406.0,0,1,0.333333,73,72
407.0,0,1,0.333333,73,72
408.0,0,0,0.0,73,73
409.0,0,0,0.0,73,73
410.0,0,0,0.0,73,73
411.0,0,0,0.0,73,73
412.0,0,0,0.0,73,73
413.0,0,0,0.0,73,73
414.0,0,0,0.0,73,73
415.0,0,0,0.0,73,73
416.0,0,0,0.0,73,73
417.0,0,0,0.0,73,73
418.0,0,0,0.0,73,73
419.0,0,0,0.0,73,73
420.0,0,0,0.0,73,73
421.0,0,0,0.0,73,73
422.0,0,0,0.0,73,73
423.0,0,0,0.0,73,73
424.0,0,0,0.0,73,73
425.0,0,0,0.0,73,73
426.0,0,0,0.0,73,73
427.0,0,0,0.0,73,73
428.0,0,0,0.0,73,73
429.0,0,0,0.0,73,73
430.0,0,0,0.0,73,73
431.0,0,0,0.0,73,73
432.0,0,1,0.333333,74,73
433.0,0,1,0.333333,74,73
434.0,0,1,0.333333,74,73
435.0,0,1,0.333333,74,73
436.0,0,1,0.333333,74,73
437.0,0,2,0.666667,75,73
438.0,0,3,1.0,76,73
439.0,0,3,1.0,76,73
440.0,0,3,1.0,76,73
441.0,0,3,1.0,76,73
442.0,0,2,0.666667,76,74
443.0,0,1,0.333333,76,75
444.0,0,1,0.333333,76,75
445.0,0,1,0.333333,76,75
446.0,0,1,0.333333,76,75
447.0,0,1,0.333333,76,75
448.0,0,1,0.333333,76,75
449.0,0,1,0.333333,76,75
450.0,0,1,0.333333,76,75
451.0,0,1,0.333333,76,75
452.0,0,2,0.666667,77,75
453.0,0,2,0.666667,77,75
454.0,0,2,0.666667,77,75
455.0,0,2,0.666667,77,75
456.0,0,1,0.333333,77,76
457.0,0,1,0.333333,77,76
458.0,0,1,0.333333,77,76
459.0,0,1,0.333333,77,76
460.0,0,2,0.666667,78,76
461.0,0,3,1.0,79,76
462.0,0,3,1.0,79,76
463.0,0,2,0.666667,79,77
464.0,0,2,0.666667,79,77
465.0,0,2,0.666667,79,77
466.0,0,2,0.666667,79,77
467.0,0,2,0.666667,79,77
468.0,0,2,0.666667,79,77
469.0,0,2,0.666667,79,77
470.0,0,2,0.666667,79,77
471.0,0,2,0.666667,79,77
472.0,0,3,1.0,80,77
473.0,0,3,1.0,80,77
474.0,0,3,1.0,80,77
475.0,0,1,0.333333,80,79
476.0,0,1,0.333333,80,79
477.0,0,1,0.333333,80,79
478.0,0,1,0.333333,80,79
479.0,0,1,0.333333,80,79
480.0,0,1,0.333333,80,79
481.0,0,1,0.333333,80,79
482.0,0,0,0.0,80,80
483.0,0,0,0.0,80,80
484.0,0,0,0.0,80,80
485.0,0,0,0.0,80,80
486.0,0,0,0.0,80,80
487.0,0,0,0.0,80,80
488.0,0,0,0.0,80,80
489.0,0,0,0.0,80,80
490.0,0,0,0.0,80,80
491.0,0,0,0.0,80,80
492.0,0,1,0.333333,81,80
493.0,0,1,0.333333,81,80
494.0,0,1,0.333333,81,80
495.0,0,1,0.333333,81,80
496.0,0,1,0.333333,81,80
497.0,0,1,0.333333,81,80
498.0,0,1,0.333333,81,80
499.0,0,1,0.333333,81,80
500.0,0,1,0.333333,81,80
501.0,0,1,0.333333,81,80
502.0,0,1,0.333333,81,80
503.0,0,1,0.333333,81,80
504.0,0,1,0.333333,81,80
505.0,0,1,0.333333,81,80
506.0,0,1,0.333333,81,80
507.0,0,1,0.333333,81,80
508.0,0,1,0.333333,81,80
509.0,0,0,0.0,81,81
510.0,0,1,0.333333,82,81
